代碼,名稱,產業,市場,題材(L2),tech,supply
2385,群光,電子零組件業,TWSE,"週邊產品, 鍵盤, 電子零件元件, 電源供應器, 電競週邊",電源供應器,
2387,精元,電腦及週邊設備業,TWSE,"週邊產品, 鍵盤",散熱,
2388,威盛,半導體業,TWSE,"CPU, IC設計, 其他IC, 嵌入式晶片, 數位看板, 晶片組, 車用電子, 顯示器, 高速傳輸介面IC","IC設計, 車用電子",AMD供應鏈
2390,云辰,其他電子業,TWSE,"安全監控, 工業電腦, 系統整合, 軟體業","系統整合, 軟體",
2392,正崴,電子零組件業,TWSE,"3C通路商, 工業用電池, 消費用電池, 車用鋰電池, 連接器, 連接線材, 週邊產品, 電子通路, 電子零件元件, 電池, 電源供應器","AI伺服器, EV, 伺服器, 儲能, 電池, 車用電子, 連接器, 電源供應器, 鋰電池",Tesla供應鏈
2393,億光,光電業,TWSE,"LED, LED封裝, LED照明產品","Micro LED, CPO, 車用電子, 資料中心, 面板, LED, 矽光子",
2395,研華,電腦及週邊設備業,TWSE,工業電腦,,NVIDIA供應鏈
2397,友通,電腦及週邊設備業,TWSE,工業電腦,記憶體,
2399,映泰,電腦及週邊設備業,TWSE,"主機板, 工業電腦, 繪圖卡, 電腦系統業",散熱,
2401,凌陽,半導體業,TWSE,"DSP, IC設計, 光碟機驅動IC, 影音IC, 消費性IC, 設計IP","ADAS, 車用電子, IC設計, 記憶體",
2402,毅嘉,電子零組件業,TWSE,"其他電子零件, 印刷電路板相關, 軟板, 電子零件元件","光通訊, 車用電子, 伺服器, PCB, FPC",
2404,漢唐,其他電子業,TWSE,"廠務工程, 電子其他","CoWoS, 2nm","NVIDIA供應鏈, Tesla供應鏈"
2405,輔信,電腦及週邊設備業,TWSE,"準系統, 福祉輔助設備, 輔助與彌補用醫材, 電腦系統業",醫材,
2406,國碩,光電業,TWSE,"太陽能, 太陽能導電漿, 太陽能系統運用",太陽能,
2408,南亞科,半導體業,TWSE,"DRAM, IC製造","DRAM, NAND Flash, 記憶體, CPO",
